categoria,disponibilidade,preco_com_taxa,preco_sem_taxa,rating,titulo,url_imagem
Food and Drink,15,42.16,42.16,3,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",https://books.toscrape.com/media/cache/38/c3/38c342d52a30a8eb38b34668e9777222.jpg
Romance,15,35.61,35.61,3,Doing It Over (Most Likely To #1),https://books.toscrape.com/media/cache/4b/91/4b91460323973e9e140626d00474d74c.jpg
Default,15,37.72,37.72,5,Done Rubbed Out (Reightman & Bailey #1),https://books.toscrape.com/media/cache/4e/af/4eaf0482e122cf9100b0fff61ea3441a.jpg
Politics,14,52.65,52.65,4,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,https://books.toscrape.com/media/cache/cd/64/cd64ccda3382d62fea8167eaadd6c9a0.jpg
Young Adult,14,14.36,14.36,2,Wild Swans,https://books.toscrape.com/media/cache/ad/42/ad42a85570a887faf1b9e12715cf59bf.jpg
Sequential Art,14,37.34,37.34,4,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",https://books.toscrape.com/media/cache/b6/6a/b66a733a0fd2c0ed2cffaf5d2d9dd146.jpg
Default,14,54.04,54.04,1,The Rosie Project (Don Tillman #1),https://books.toscrape.com/media/cache/45/db/45db8e5d17ac3683cce97977d162dc94.jpg
Add a comment,14,37.4,37.4,5,The Song of Achilles,https://books.toscrape.com/media/cache/4e/56/4e56783b21a3a5c73e32e59241a351ac.jpg
Default,14,44.48,44.48,5,The Songs of the Gods,https://books.toscrape.com/media/cache/08/ad/08add5c58ff717da1b00d5dda3f7c637.jpg
Fiction,14,45.21,45.21,3,Take Me with You,https://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg
Mystery,14,10.69,10.69,1,Tastes Like Fear (DI Marnie Rome #3),https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg
Mystery,14,13.92,13.92,1,That Darkness (Gardiner and Renner #1),https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg
Sequential Art,14,38.39,38.39,2,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",https://books.toscrape.com/media/cache/0b/b8/0bb8bd42d6b58c7966ba67472a55f905.jpg
Nonfiction,14,21.95,21.95,2,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,https://books.toscrape.com/media/cache/c6/e5/c6e596ddbcd5d5f448d1bae14f2e09d3.jpg
Humor,14,11.83,11.83,5,Old School (Diary of a Wimpy Kid #10),https://books.toscrape.com/media/cache/55/82/5582626cb185a8eb2914c15d5287afbd.jpg
Default,14,47.02,47.02,3,"Hush, Hush (Hush, Hush #1)",https://books.toscrape.com/media/cache/0d/e9/0de97404e7bbd00d7aa6cd429b0de1da.jpg
Humor,14,14.75,14.75,5,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",https://books.toscrape.com/media/cache/25/1d/251df0eb9b321159b0ee348d4a9da2af.jpg
Fiction,14,10.6,10.6,4,I Am Pilgrim (Pilgrim #1),https://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg
Fiction,14,25.01,25.01,3,Cometh the Hour (The Clifton Chronicles #6),https://books.toscrape.com/media/cache/a0/f6/a0f6ff77c5f4604f88b1c74bbf669995.jpg
Christian,14,47.72,47.72,2,Crazy Love: Overwhelmed by a Relentless God,https://books.toscrape.com/media/cache/5d/34/5d344393618369df3f560e018b1d9853.jpg
Default,14,36.58,36.58,1,Daily Fantasy Sports,https://books.toscrape.com/media/cache/f6/65/f6656d023fae1a6219bbe85219d59fd2.jpg
Default,14,51.48,51.48,3,Angels & Demons (Robert Langdon #1),https://books.toscrape.com/media/cache/c2/fd/c2fd7fed7aa38d095127d2ec62726b17.jpg
Add a comment,14,34.2,34.2,2,Angels Walking (Angels Walking #1),https://books.toscrape.com/media/cache/ba/d9/bad95369105e8e403bf1f2b9288c5e41.jpg
Young Adult,14,58.14,58.14,4,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),https://books.toscrape.com/media/cache/e5/3a/e53a42b20d0c60634289aaad3fbb75c6.jpg
Fiction,12,46.29,46.29,5,The Silent Sister (Riley MacPherson #1),https://books.toscrape.com/media/cache/98/df/98df70802a22c17dac6026645da4ab87.jpg
Fantasy,12,32.3,32.3,5,The Star-Touched Queen,https://books.toscrape.com/media/cache/dc/57/dc57f908a0a2e130a5c065893a9005dd.jpg
Science,12,37.55,37.55,1,Tipping Point for Planet Earth: How Close Are We to the Edge?,https://books.toscrape.com/media/cache/8e/cb/8ecbec21e76445ee83229a439e22aeaa.jpg
Default,12,58.32,58.32,5,How to Speak Golf: An Illustrated Guide to Links Lingo,https://books.toscrape.com/media/cache/43/19/4319716fa8ee2c315d07dc3c9c6762d2.jpg
Historical Fiction,12,20.55,20.55,2,"Love, Lies and Spies",https://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg
Mystery,12,35.28,35.28,3,Most Wanted,https://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg
Romance,11,47.67,47.67,3,Off the Hook (Fishing for Trouble #1),https://books.toscrape.com/media/cache/bc/21/bc214639946c501cd70ff6b752439c76.jpg
Mystery,11,13.71,13.71,3,Playing with Fire,https://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg
Biography,11,21.15,21.15,2,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",https://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg
Health,10,49.71,49.71,5,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,https://books.toscrape.com/media/cache/79/84/7984ef7c568a60372f430c1ddae64034.jpg
Nonfiction,10,24.57,24.57,2,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",https://books.toscrape.com/media/cache/dd/89/dd8974991a279418738f38d5561979c4.jpg
Fiction,11,48.48,48.48,3,11/22/63,https://books.toscrape.com/media/cache/4c/4c/4c4ce2398c6ad6c074e8061f739964cc.jpg
Young Adult,9,33.23,33.23,1,Don't Forget Steven,https://books.toscrape.com/media/cache/0e/ea/0eea83f8c3d5d3bf8538f046e2a4c67d.jpg
Humor,9,43.68,43.68,3,Dress Your Family in Corduroy and Denim,https://books.toscrape.com/media/cache/9c/2b/9c2bdd3040938c144345a115fb906562.jpg
Sequential Art,9,33.95,33.95,4,"Fruits Basket, Vol. 9 (Fruits Basket #9)",https://books.toscrape.com/media/cache/3f/97/3f97ab9d27352e8dd24671c945b1c5ac.jpg
Christian Fiction,8,39.67,39.67,5,Shadows of the Past (Logan Point #1),https://books.toscrape.com/media/cache/61/3a/613ac19c2232f1d9adc5943291a5e860.jpg
Suspense,8,58.33,58.33,3,Silence in the Dark (Logan Point #4),https://books.toscrape.com/media/cache/00/bf/00bf1ae17dde21c66e346dd9c393d6fa.jpg
Nonfiction,8,38.89,38.89,5,Smarter Faster Better: The Secrets of Being Productive in Life and Business,https://books.toscrape.com/media/cache/16/65/1665c94f1ec5580132a16c3bdfd0c421.jpg
Art,8,10.29,10.29,4,History of Beauty,https://books.toscrape.com/media/cache/cb/74/cb74d2953d5249143c3c2e3c281daf6f.jpg
Poetry,8,40.45,40.45,2,Howl and Other Poems,https://books.toscrape.com/media/cache/09/8e/098e81fcea9f6b4c15f6d207301c0085.jpg
Fiction,8,21.96,21.96,4,Hystopia: A Novel,https://books.toscrape.com/media/cache/23/2f/232fdac6b00cd3c7cd2b2336ff3b730e.jpg
Childrens,7,35.96,35.96,4,The Whale,https://books.toscrape.com/media/cache/6c/df/6cdf7a3ee6cfd5ecbcfd37bd7a5c42e3.jpg
Default,7,34.72,34.72,1,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,https://books.toscrape.com/media/cache/e3/b8/e3b8b5a65135abbd9bdbd7a98baa1077.jpg
Humor,7,25.55,25.55,1,Toddlers Are A**holes: It's Not Your Fault,https://books.toscrape.com/media/cache/26/1a/261a092ddd76981beb23a601edf0868b.jpg
Childrens,7,32.38,32.38,1,Playing from the Heart,https://books.toscrape.com/media/cache/b6/ba/b6ba2393c312701f1471db91eb73284d.jpg
Childrens,7,34.41,34.41,2,Raymie Nightingale,https://books.toscrape.com/media/cache/95/6b/956b5a8927463f4ea0774e2469e27ce5.jpg
Business,7,51.74,51.74,1,"Rich Dad, Poor Dad",https://books.toscrape.com/media/cache/46/1c/461cf454be3aac0b4cd066247c892679.jpg
Christian,7,25.77,25.77,1,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,https://books.toscrape.com/media/cache/98/4a/984ab50781e05461a753923eaba33e58.jpg
Music,7,52.6,52.6,2,"Chronicles, Vol. 1",https://books.toscrape.com/media/cache/df/bd/dfbd53a5c4bcb1bf676bf2a86335adbb.jpg
Christian Fiction,7,17.97,17.97,5,Counted With the Stars (Out from Egypt #1),https://books.toscrape.com/media/cache/33/93/339372341b88e027734e97fa1ddb26fc.jpg
Poetry,6,15.42,15.42,5,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),https://books.toscrape.com/media/cache/b3/8c/b38cadc69f4a2db0aae2ee2867ab8583.jpg
Default,6,10.27,10.27,2,The Fellowship of the Ring (The Lord of the Rings #1),https://books.toscrape.com/media/cache/5d/9f/5d9f339be8d98f597ad33eee239119d8.jpg
Historical,6,15.79,15.79,1,The Girl You Left Behind (The Girl You Left Behind #1),https://books.toscrape.com/media/cache/6d/72/6d72120f94d38e356612c8a78e82a53d.jpg
Travel,6,56.88,56.88,4,A Year in Provence (Provence #1),https://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg
Psychology,6,21.3,21.3,3,An Unquiet Mind: A Memoir of Moods and Madness,https://books.toscrape.com/media/cache/e5/65/e56540f5e29286f3d7a1e3eb1912b61f.jpg
Food and Drink,6,39.61,39.61,3,Better Homes and Gardens New Cook Book,https://books.toscrape.com/media/cache/71/21/712105c4429489160c7a6f9e4824fcc6.jpg
Fiction,5,44.58,44.58,2,The Expatriates,https://books.toscrape.com/media/cache/4a/96/4a96cd8c43ea6c74d5b8d9ce1d47c187.jpg
Fantasy,5,56.0,56.0,5,The False Prince (The Ascendance Trilogy #1),https://books.toscrape.com/media/cache/36/b1/36b1333456d4c6b28e90d1157d37bc0e.jpg
Default,5,47.22,47.22,1,The Fault in Our Stars,https://books.toscrape.com/media/cache/4f/96/4f96ae30d8aefab78b9c8005197eb85f.jpg
Young Adult,5,15.52,15.52,5,Kill the Boy Band,https://books.toscrape.com/media/cache/6e/66/6e66e7cefe3ca7cf9402f87f3e13c79e.jpg
Thriller,5,31.49,31.49,4,Killing Floor (Jack Reacher #1),https://books.toscrape.com/media/cache/b1/5b/b15b4c864b762133cdaf69b58ba55d76.jpg
Fiction,5,59.98,59.98,3,Last One Home (New Beginnings #1),https://books.toscrape.com/media/cache/0b/98/0b98d840b298be76c1a982a8d1f4688f.jpg
History,5,51.22,51.22,2,America's War for the Greater Middle East: A Military History,https://books.toscrape.com/media/cache/da/0c/da0ca0d6586f8164b7a96d4c807a6c7f.jpg
Young Adult,5,10.0,10.0,5,An Abundance of Katherines,https://books.toscrape.com/media/cache/9b/c8/9bc86bc10a6beea536422bbe82e076fb.jpg
Autobiography,5,58.81,58.81,5,Approval Junkie: Adventures in Caring Too Much,https://books.toscrape.com/media/cache/96/6d/966d8d2afdead087cba0f29a69f89ba5.jpg
Womens Fiction,4,13.73,13.73,5,Some Women,https://books.toscrape.com/media/cache/2f/71/2f710e4c53d98e47b73e4d34702a6751.jpg
Fantasy,4,46.08,46.08,5,The Beast (Black Dagger Brotherhood #14),https://books.toscrape.com/media/cache/d4/76/d4761761d26eb7fe1ba0a9480913a8ca.jpg
Thriller,4,59.71,59.71,3,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),https://books.toscrape.com/media/cache/8d/1f/8d1f11673fbe46f47f27b9a4c8efbf8a.jpg
Sequential Art,4,50.44,50.44,4,"Fruits Basket, Vol. 4 (Fruits Basket #4)",https://books.toscrape.com/media/cache/77/0b/770bf7bcb38eaacc6a9392dd0b7af1e4.jpg
Historical Fiction,4,26.77,26.77,1,Girl With a Pearl Earring,https://books.toscrape.com/media/cache/b1/5e/b15ec9da5c7b28e2d11347dd2e8c20e5.jpg
Nonfiction,4,27.8,27.8,1,God Is Not Great: How Religion Poisons Everything,https://books.toscrape.com/media/cache/ff/b8/ffb857154e4bc8af56f33d7277cb9939.jpg
Contemporary,3,24.04,24.04,1,We Are All Completely Beside Ourselves,https://books.toscrape.com/media/cache/8d/95/8d95f4fd1ea785555a28d6371444ce6d.jpg
Nonfiction,3,31.95,31.95,3,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,https://books.toscrape.com/media/cache/b9/45/b945e870e5188ce6dabbf79ed98b10f1.jpg
Humor,3,30.89,30.89,5,When You Are Engulfed in Flames,https://books.toscrape.com/media/cache/42/1a/421afe48509fc8cccccad804b64c58dc.jpg
Food and Drink,3,23.59,23.59,1,The Smitten Kitchen Cookbook,https://books.toscrape.com/media/cache/93/cb/93cb59d2fa8bab28812989e1a33b4cae.jpg
Horror,3,57.86,57.86,2,The Stand,https://books.toscrape.com/media/cache/f9/8b/f98bdf42af5e223bc0f6ea6bd0a48a53.jpg
Childrens,3,48.77,48.77,1,The Thing About Jellyfish,https://books.toscrape.com/media/cache/ef/d3/efd3fd5390be3a440e28b03b5bb0fd95.jpg
Childrens,3,43.59,43.59,5,The Lonely Ones,https://books.toscrape.com/media/cache/ff/f6/fff64acb3c65cbea2ac9209c2a57af17.jpg
Default,3,58.09,58.09,2,The Lover's Dictionary,https://books.toscrape.com/media/cache/0b/e9/0be9284a6b11e3517504aa9a44f87a3a.jpg
Default,3,20.93,20.93,1,The Maze Runner (The Maze Runner #1),https://books.toscrape.com/media/cache/e1/56/e156706ae507fdd59aa933675a480d07.jpg
Childrens,3,26.33,26.33,5,The Day the Crayons Came Home (Crayons),https://books.toscrape.com/media/cache/34/b2/34b2631bafd148bcd8dcd850a4b75971.jpg
Default,3,52.25,52.25,4,The Demon-Haunted World: Science as a Candle in the Dark,https://books.toscrape.com/media/cache/f2/a1/f2a18461821c1842a4bc8041de6a8d40.jpg
Womens Fiction,3,44.29,44.29,1,The Devil Wears Prada (The Devil Wears Prada #1),https://books.toscrape.com/media/cache/21/ac/21acb843702d1448519cc8bf0d5da728.jpg
Default,3,46.45,46.45,2,Shopaholic & Baby (Shopaholic #5),https://books.toscrape.com/media/cache/75/b1/75b1b239670c929c4e17b9a67ebb6272.jpg
Fantasy,3,24.72,24.72,2,Soldier (Talon #3),https://books.toscrape.com/media/cache/79/15/7915bf4c3d1a2f7fd39c4edff580e91f.jpg
Womens Fiction,3,54.62,54.62,1,Something Blue (Darcy & Rachel #2),https://books.toscrape.com/media/cache/29/26/2926c885f673e84d7fc46240b1f77eb2.jpg
Default,3,32.87,32.87,2,One for the Money (Stephanie Plum #1),https://books.toscrape.com/media/cache/3f/7a/3f7a775ec9fe618e122e3d3b4f91dc22.jpg
Default,3,24.61,24.61,2,Orange Is the New Black,https://books.toscrape.com/media/cache/c4/cf/c4cf1668dcb49c698e8cc2c6553b1237.jpg
Sequential Art,3,31.45,31.45,3,Original Fake,https://books.toscrape.com/media/cache/39/99/3999845b6800427aad3d45041586a171.jpg
Young Adult,3,53.04,53.04,5,Lady Renegades (Rebel Belle #3),https://books.toscrape.com/media/cache/86/36/8636b9056ea6930c153cd1d5b4aed36a.jpg
Humor,3,55.5,55.5,5,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",https://books.toscrape.com/media/cache/c4/69/c469440eeffdd84ac3f4b09bd575c548.jpg
Default,3,25.02,25.02,1,"Lean In: Women, Work, and the Will to Lead",https://books.toscrape.com/media/cache/c2/4f/c24fc1d77ec9dd6e0c863484041c482f.jpg
Young Adult,3,42.21,42.21,4,Golden (Heart of Dread #3),https://books.toscrape.com/media/cache/c2/8b/c28ba565e29fd6879ccf4738fbf06696.jpg
Default,3,37.6,37.6,5,Gone Girl,https://books.toscrape.com/media/cache/73/21/7321b201d1c51a1c3b777a72c4bc0ea9.jpg
Nonfiction,3,26.66,26.66,5,Gratitude,https://books.toscrape.com/media/cache/56/73/5673fea5d08ad840ade774146ce07b28.jpg
Add a comment,3,36.17,36.17,2,Cosmos,https://books.toscrape.com/media/cache/e9/6e/e96eeedd915f4af106df0977404a0b8f.jpg
Childrens,3,10.62,10.62,1,Counting Thyme,https://books.toscrape.com/media/cache/1a/53/1a53aab1bf630cb7da16181d405987cc.jpg
Fiction,3,49.13,49.13,5,Crazy Rich Asians (Crazy Rich Asians #1),https://books.toscrape.com/media/cache/05/37/053789bf4a9b520bf76fc9eea14e780e.jpg
Nonfiction,3,56.58,56.58,1,Are We Smart Enough to Know How Smart Animals Are?,https://books.toscrape.com/media/cache/18/c1/18c1089811f55295b689bda892628fee.jpg
Childrens,3,10.66,10.66,3,Are We There Yet?,https://books.toscrape.com/media/cache/5d/c7/5dc7a906a9257824ae5aca5e33dfb0cd.jpg
Fantasy,3,22.06,22.06,4,Ash,https://books.toscrape.com/media/cache/20/ea/20ea16f618488e65f6abc5535fa77610.jpg
Young Adult,2,53.47,53.47,1,Girl Online On Tour (Girl Online #2),https://books.toscrape.com/media/cache/5a/36/5a36c880b8762469cd3d67dc05427128.jpg
Nonfiction,2,57.42,57.42,5,H is for Hawk,https://books.toscrape.com/media/cache/14/00/140096c16c6e0b5d6df9d19f9493e8a5.jpg
Nonfiction,2,34.0,34.0,3,Kindle Paperwhite User's Guide,https://books.toscrape.com/media/cache/06/71/0671e3db3053c0dc22122eda29d6734c.jpg
Science,1,29.45,29.45,1,The Selfish Gene,https://books.toscrape.com/media/cache/d7/63/d763b806d6f0fb6580f16d08e00bdba6.jpg
Fantasy,1,36.25,36.25,3,The Silent Twin (Detective Jennifer Knight #3),https://books.toscrape.com/media/cache/c1/80/c1800f5a0eaaaea8c2283b129cbac4ae.jpg
Fiction,1,12.34,12.34,5,The Silent Wife,https://books.toscrape.com/media/cache/a6/37/a6378b97d817267de38ba58dfd0db412.jpg
Add a comment,1,14.76,14.76,3,The Communist Manifesto,https://books.toscrape.com/media/cache/b5/c7/b5c74ed5e387f2c13324e294c4b6412c.jpg
Sequential Art,1,10.64,10.64,3,The Complete Maus (Maus #1-2),https://books.toscrape.com/media/cache/e5/0f/e50f35f47d84efaa739eff59b3dd4f7c.jpg
Womens Fiction,1,19.18,19.18,4,The Edge of Reason (Bridget Jones #2),https://books.toscrape.com/media/cache/a1/4f/a14f3bc2743e3956cb10fddaaf62a1f9.jpg
Fantasy,1,52.94,52.94,2,One Second (Seven #7),https://books.toscrape.com/media/cache/70/ad/70ad2de442bc3ffe36660ccabfe46148.jpg
Fantasy,1,28.99,28.99,1,Origins (Alphas 0.5),https://books.toscrape.com/media/cache/ad/78/ad789235c675d02b730b57a166d910b5.jpg
Sequential Art,1,29.87,29.87,3,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",https://books.toscrape.com/media/cache/27/33/27334267037a79caed4d7b0092d59fb5.jpg
Sequential Art,1,40.28,40.28,5,"Fruits Basket, Vol. 1 (Fruits Basket #1)",https://books.toscrape.com/media/cache/03/c5/03c51e2b5bf51a3f55deecbf8c9e8515.jpg
Sequential Art,1,56.76,56.76,4,"Giant Days, Vol. 1 (Giant Days #1-4)",https://books.toscrape.com/media/cache/eb/20/eb2063bd8d636cb8200c4b2c7cb6c773.jpg
Science Fiction,1,34.96,34.96,4,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),https://books.toscrape.com/media/cache/13/8a/138a09170e0431cce98921b857a6eeb5.jpg
Travel,1,26.08,26.08,5,"1,000 Places to See Before You Die",https://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg
Mystery,1,53.98,53.98,1,1st to Die (Women's Murder Club #1),https://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg
Historical Fiction,1,16.97,16.97,5,A Spy's Devotion (The Regency Spies of London #1),https://books.toscrape.com/media/cache/f9/6b/f96b60a7614c4e3e868b82f6811efc7c.jpg
Sequential Art,1,57.06,57.06,4,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",https://books.toscrape.com/media/cache/30/98/309814b6eeba469f4c741147aaaa076a.jpg
Classics,1,55.53,55.53,1,Alice in Wonderland (Alice's Adventures in Wonderland #1),https://books.toscrape.com/media/cache/99/df/99df494c230127c3d5ff53153d1f23a3.jpg
Philosophy,1,43.38,43.38,1,Beyond Good and Evil,https://books.toscrape.com/media/cache/d1/7f/d17f326e3fcaf84c37d6d51e3470bcc6.jpg
Sequential Art,1,34.65,34.65,5,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",https://books.toscrape.com/media/cache/48/b0/48b07e2daa02d7e5485aa546dec5a25e.jpg
Mystery,1,20.3,20.3,3,Blood Defense (Samantha Brinkman #1),https://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg
Romance,1,37.26,37.26,4,Bounty (Colorado Mountain #7),https://books.toscrape.com/media/cache/7d/18/7d18f04705f25aa7659b2aa6153c1a4f.jpg
Womens Fiction,1,29.82,29.82,1,Bridget Jones's Diary (Bridget Jones #1),https://books.toscrape.com/media/cache/67/2f/672f2e3753cfc59c5843d23c88784326.jpg
Fiction,1,39.07,39.07,5,Bright Lines,https://books.toscrape.com/media/cache/26/4f/264f79395041ac4b88038030da0433cd.jpg
Romance,1,41.24,41.24,1,Charity's Cross (Charles Towne Belles #4),https://books.toscrape.com/media/cache/b6/42/b642b7415804929612c29d87656edea1.jpg
Childrens,1,22.85,22.85,3,Charlie and the Chocolate Factory (Charlie Bucket #1),https://books.toscrape.com/media/cache/96/df/96dfbe6533f9705d2cdccc16310910ee.jpg
Religion,1,28.42,28.42,4,Choosing Our Religion: The Spiritual Lives of America's Nones,https://books.toscrape.com/media/cache/e9/8a/e98a7adb82052fb13418a43291b8f0d4.jpg
Romance,1,47.09,47.09,5,Deep Under (Walker Security #1),https://books.toscrape.com/media/cache/b6/bd/b6bd7cd6500f96e717c147deb8d89af2.jpg
Nonfiction,1,51.32,51.32,3,"Eat, Pray, Love",https://books.toscrape.com/media/cache/5b/82/5b827f00893b7119360e8a67d939e0b5.jpg
Classics,1,32.93,32.93,2,Emma,https://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg
Romance,1,39.24,39.24,3,Fighting Fate (Fighting #6),https://books.toscrape.com/media/cache/ba/a6/baa64eeda5e10952da4610f8efc1be76.jpg
